number	category	file	line	code
30	default_parameter_value	src/ast_grep_mcp/features/deduplication/applicator_backup.py	155	def cleanup_old_backups(self, days: int = 30) -> int:
3	slice_or_top_n_limit	analyze_codebase.py	109	for func in sorted(critical, key=lambda x: x.metrics.cognitive, reverse=True)[:3]:
5	slice_or_top_n_limit	analyze_codebase.py	281	for i, group in enumerate(dedup_groups[:5], 1):
3	slice_or_top_n_limit	analyze_codebase.py	287	for inst in instances[:3]:
50	slice_or_top_n_limit	analyze_codebase.py	329	for line in lines[:50]:
20	slice_or_top_n_limit	analyze_codebase.py	380	for line in error_lines[:20]:
20	other	analyze_codebase.py	383	if error_count > 20:
0.7	confidence_score	src/ast_grep_mcp/features/quality/security_scanner.py	111	"confidence": 0.7,
0.8	confidence_score	src/ast_grep_mcp/features/quality/security_scanner.py	122	"confidence": 0.8,
0.8	confidence_score	src/ast_grep_mcp/features/quality/security_scanner.py	142	"confidence": 0.8,
0.95	confidence_score	src/ast_grep_mcp/features/quality/security_scanner.py	160	"confidence": 0.95,
0.8	confidence_score	src/ast_grep_mcp/features/quality/security_scanner.py	330	confidence=pattern_def.get("confidence", 0.8),
3	severity_ranking	src/ast_grep_mcp/features/quality/security_scanner.py	543	severity_order = {"critical": 3, "high": 2, "medium": 1, "low": 0}
1000.0	other	src/ast_grep_mcp/utils/performance.py	204	return self.elapsed_ms / 1000.0
4	other	src/ast_grep_mcp/features/condense/service.py	200	body_indent = indent + 4
50	slice_or_top_n_limit	src/ast_grep_mcp/features/cross_language/polyglot_refactoring.py	129	logger.warning("file_read_error", file=file_path, error=str(e)[:50])
50	other	src/ast_grep_mcp/features/cross_language/polyglot_refactoring.py	217	if len(changes) > 50:
50	slice_or_top_n_limit	src/ast_grep_mcp/features/quality/smells_detectors.py	556	return magic_numbers[:50]
5	slice_or_top_n_limit	src/ast_grep_mcp/features/deduplication/impact.py	73	function_names=function_names[:5] if function_names else [],
1.2	other	src/ast_grep_mcp/features/deduplication/impact.py	495	extracted_function_lines = int(lines_per_duplicate * 1.2)
3	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/impact.py	591	score += min(call_count, 3)  # Cap at 3
3	score_formula_or_cap	src/ast_grep_mcp/features/deduplication/impact.py	591	score += min(call_count, 3)  # Cap at 3
